Nombre,Latitud,Longitud
Observatorio,19.398237,-99.200363
Tacubaya,19.403439,-99.187102
Juanacatlán,19.41289,-99.182167
Chapultepec,19.420783,-99.176288
Sevilla,19.421916,-99.17058
Insurgentes,19.423292,-99.163177
Cuauhtémoc,19.425862,-99.154701
Balderas,19.42744,-99.149036
Universidad,19.324427,-99.17397
Copilco,19.335887,-99.176652
Miguel Ángel de Quevedo,19.346395,-99.18103
Viveros,19.353724,-99.176052
Coyoacán,19.361417,-99.170709
Zapata,19.370952,-99.164937
División del Norte,19.380021,-99.158885
Eugenia,19.385466,-99.157469
Etiopía,19.395586,-99.156268
Centro Médico,19.406637,-99.155753
Hospital General,19.413578,-99.153886
Niños Héroes,19.419508,-99.150581
Juárez,19.433167,-99.147792
Barranca del Muerto,19.360648,-99.190149
Mixcoac,19.375891,-99.187531
San Antonio,19.384757,-99.186308
San Pedro de los Pinos,19.391275,-99.186051
Constituyentes,19.411858,-99.191265
Auditorio,19.425498,-99.191995
Polanco,19.433511,-99.191029
Patriotismo,19.4062,-99.1789
Chilpancingo,19.4059,-99.1686
Lázaro Cárdenas,19.40696,-99.144874
Insurgentes Sur,19.3736,-99.1788
Hospital 20 de Noviembre,19.372,-99.171
Parque de los Venados,19.3707,-99.1587
Eje Central,19.3614,-99.1514